Paul Elliott Trustee of The Spencer Elliott Living Trust v. Securities and Exchange Commission	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv09062/988078/45/	May 1, 2026	2:2025cv09062
Jilian Morris v. Mercedes-Benz USA, LLC	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv11665/998576/16/	April 30, 2026	2:2025cv11665
Claudia Patricia Coronado v. Nissan North America, Inc. et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2025cv02658/990213/14/	April 30, 2026	5:2025cv02658
Paul Frank Limited v. Grand Union International Trading Limited	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv11415/997503/30/	April 30, 2026	2:2025cv11415
Floyd Lang v. Raul Morales	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2025cv01100/970393/32/	April 29, 2026	5:2025cv01100
Tekoma Chaney v. Transdev Services Inc.	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2024cv10761/951252/47/	April 29, 2026	2:2024cv10761
Vistancia MP LLC et al v. Wilmington Trust, National Association	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv09819/990866/34/	April 29, 2026	2:2025cv09819
Abd Eid Younan Matta v. Kristi Noem et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv00344/1004105/20/	April 29, 2026	5:2026cv00344
Tekoma Chaney v. Transdev Services Inc.	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2024cv10761/951252/46/	April 28, 2026	2:2024cv10761
Bastiat USA, Inc. v. Shein Distribution Corp. et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv05701/975659/33/	April 28, 2026	2:2025cv05701
Securities and Exchange Commission v. Brendan Matthew Ross	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2020cv07202/791076/35/	April 28, 2026	2:2020cv07202
Levon Pogosian v. Ernesto Santacruz, Jr. et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv00540/1005685/20/	April 28, 2026	5:2026cv00540
Mirzaelian Shahab v. D. Marin et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01851/1015862/13/	April 28, 2026	5:2026cv01851
Porfirio Perez v. Old Dominion Freight Line, Inc. et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2025cv02702/990905/19/	April 28, 2026	5:2025cv02702
Maria G. Garcia Mora v. General Motors LLC et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv06939/980938/31/	April 28, 2026	2:2025cv06939
Jose Romo v. General Motors LLC et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv06808/980608/29/	April 28, 2026	2:2025cv06808
Securities and Exchange Commissions v. David P. Ortiz et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv08610/986669/27/	April 27, 2026	2:2025cv08610
Securities and Exchange Commissions v. David P. Ortiz et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv08610/986669/26/	April 27, 2026	2:2025cv08610
Lagree Fitness, Inc. et al v. Studio Physique, LLC et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv10834/995252/34/	April 24, 2026	2:2025cv10834
The Old Custom House, Inc. v. CCC PSC Owner, LLC et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv08814/987312/40/	April 24, 2026	2:2025cv08814
John Walter Escobar Trujillo v. Daniel Beck et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01312/1011587/24/	April 24, 2026	5:2026cv01312
Lushu Wang et al v. David Marin et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01910/1016051/8/	April 24, 2026	5:2026cv01910
Christopher Andrew Nelson v. Officer Sixt et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2024cv11161/953074/42/	April 23, 2026	2:2024cv11161
Christopher Andrew Nelson v. Officer Sixt et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2024cv11161/953074/41/	April 23, 2026	2:2024cv11161
Ali Mokhtari et al. v. Newrez LLC et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv05687/975623/36/	April 23, 2026	2:2025cv05687
Claudia Alvarado v. Charter Communications, LLC et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2026cv01813/1007545/19/	April 23, 2026	2:2026cv01813
Alan Michael Sosa Alarcon v. Mark Bowen et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv00204/1003012/43/	April 23, 2026	5:2026cv00204
Binh Thanh Nguyen v. Mark Bowen et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01809/1015117/12/	April 22, 2026	5:2026cv01809
Anthony Gil v. Frank Bisignano	https://law.justia.com/cases/federal/district-courts/california/cacdce/8:2025cv00430/960709/27/	April 22, 2026	8:2025cv00430
Anthony Gil v. Frank Bisignano	https://law.justia.com/cases/federal/district-courts/california/cacdce/8:2025cv00430/960709/28/	April 22, 2026	8:2025cv00430
Karla Hernandez v. Mike Randazzo et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2026cv02297/1009339/18/	April 21, 2026	2:2026cv02297
GoTV Streaming, LLC v. Netflix, Inc.	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2022cv07556/865513/489/	April 21, 2026	2:2022cv07556
Gary S. Hann v. Francis P. Sakaya et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2025cv01950/981782/37/	April 21, 2026	5:2025cv01950
EPD Investment Company, LLC et al v. Cal-West Equities, Inc.	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv08036/986025/20/	April 17, 2026	2:2025cv08036
Bianka Teresa Valverde Cantillo v. Warden, Adelanto Detention Facility	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01200/1010943/15/	April 17, 2026	5:2026cv01200
Take Two Interactive Software, Inc. et al v. Playerauctions, Inc. et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv01880/960414/73/	April 16, 2026	2:2025cv01880
Naeem Azad et al v. Caitlyn Jenner et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2024cv09768/948061/102/	April 16, 2026	2:2024cv09768
SBH Holdings LLC v. Amazon Seller using ASIN B003UNOY7Y	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv08803/987297/30/	April 16, 2026	2:2025cv08803
Tanesia Tramell v. Santander Consumer USA Inc. et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv10902/995442/43/	April 15, 2026	2:2025cv10902
